ens_gene,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq
WBGene00013455,ssu-2,0.234934305,0.781615259,0.173171098,0.145798342,3.981003387,0.068831906,0.017849009,0.05300818,0.044376545,0.05300818
WBGene00014062,ZK673.6,0.001911556,0.781615259,0.447261584,0.144108705,3.861412055,0.089594709,0.022858067,0.040991809,0.046366329,0.046366329
WBGene00006583,tnc-2,0.04637829,0.781615259,0.196065365,0.098429645,6.487734537,0.035233564,0.001499201,0.030795449,0.022738867,0.030795449
WBGene00017386,nspd-5,0.055294033,0.781615259,0.2719516,0.141895792,6.102156954,0.069908154,0.002713172,0.064401548,0.024609049,0.064401548
WBGene00017384,F11G11.4,0.074524077,0.781615259,0.224529776,0.125901084,4.780550975,0.053836831,0.009651987,0.043184956,0.036331704,0.043184956
WBGene00001609,glp-1,0.22673351,0.781615259,-0.165903591,0.137244691,8.946161986,0.059598032,1.36E-04,0.062650709,0.023666563,0.062650709
WBGene00004729,sax-3,0.21823055,0.781615259,-0.158579997,0.128796265,7.384072934,0.055447321,6.65E-04,0.054630065,0.020527147,0.054630065
WBGene00013362,algn-7,0.148244525,0.781615259,0.11810631,0.081691504,6.94187599,0.019518813,9.97E-04,0.014067181,0.021247806,0.021247806
WBGene00004705,rsp-8,0.228208801,0.781615259,-0.108807968,0.090298136,7.926554072,0.026680364,6.56E-04,0.026523012,0.020697841,0.026523012
WBGene00003918,par-3,0.160176619,0.781615259,-0.263222774,0.187416828,8.698663209,0.114781858,1.62E-04,0.116921606,0.022618635,0.116921606
WBGene00010335,F59F3.6,0.187580539,0.781615259,-0.206853931,0.156972672,3.554838873,0.062015641,0.029840814,0.033949604,0.052293918,0.052293918
WBGene00045419,lsy-12,0.07970295,0.781615259,-0.218018295,0.124410393,8.402689955,0.052888606,4.84E-04,0.051109237,0.021653365,0.051109237
WBGene00001131,dys-1,0.160814827,0.781615259,-0.156398649,0.111527201,7.831757021,0.039534465,0.004917374,0.036543681,0.020595787,0.036543681
WBGene00021192,Y14H12B.2,0.139792312,0.781615259,-0.185107988,0.125363938,7.742170936,0.051728559,4.28E-04,0.051958673,0.02052713,0.051958673
WBGene00012984,Y48B6A.13,0.234209299,0.781615259,-0.103950513,0.0873838,6.318070204,0.022334079,0.001974223,0.021797852,0.023478872,0.023478872
WBGene00019831,R02F2.1,0.078959743,0.781615259,-0.190510517,0.108444616,8.704862749,0.040320092,1.84E-04,0.039016318,0.022642111,0.039016318
WBGene00022115,Y71F9AL.10,0.077180713,0.781615259,-0.143546742,0.0812245,7.022408853,0.018349291,9.38E-04,0.016366482,0.021052988,0.021052988
WBGene00006893,spon-1,0.021736906,0.781615259,0.185147869,0.080676772,7.294114839,0.024312592,7.30E-04,0.020965404,0.020599865,0.020965404
WBGene00021334,vps-4,0.132167428,0.781615259,-0.132775321,0.088187086,7.896457891,0.025455648,3.84E-04,0.025538892,0.020662174,0.025538892
WBGene00021335,spp-23,0.08154445,0.781615259,0.19014684,0.109167221,6.262395822,0.041397281,0.001982668,0.037742273,0.023750778,0.037742273
WBGene00000199,arx-1,0.145890637,0.781615259,-0.14891876,0.102405911,7.845951357,0.034181088,3.11E-04,0.034645615,0.020609147,0.034645615
WBGene00011810,T16G12.9,0.055078681,0.781615259,-0.285078498,0.14861345,3.748233192,0.041705883,0.025199391,0.002087467,0.048420467,0.048420467
WBGene00003661,nhr-71,0.083220002,0.781615259,-0.265355134,0.153180741,6.385751719,0.080608721,0.001836307,0.076378157,0.023167395,0.076378157
WBGene00021457,Y39F10C.1,0.210863933,0.781615259,-0.352689534,0.281882513,3.446679491,0.255898605,0.210139263,-0.021812076,0.054719907,0.054719907
WBGene00022831,cec-10,0.126784507,0.781615259,-0.133127936,0.087188064,8.460710245,0.025286307,2.36E-04,0.025103282,0.021819217,0.025103282
WBGene00018756,F53C3.13,0.19016087,0.781615259,-0.187099132,0.142812496,7.710660038,0.065681892,5.87E-04,0.067398127,0.020509431,0.067398127
WBGene00015868,C16H3.3,0.148760627,0.781615259,-0.140496029,0.097301605,5.895122618,0.045750144,0.002683398,0.028875277,0.025872661,0.028875277
WBGene00016450,clec-5,0.029040259,0.781615259,0.183826007,0.084210304,6.626397215,0.026209767,0.001414459,0.020888957,0.022223459,0.022223459
WBGene00009361,F33E2.5,0.174146881,0.781615259,-0.145902824,0.107360503,5.426157153,0.047794229,0.004849032,0.033571893,0.029413226,0.033571893
WBGene00016807,C50D2.3,0.18182164,0.781615259,0.183967663,0.13778624,3.960145942,0.057257577,0.018586879,0.036563138,0.044696614,0.044696614
WBGene00004364,ric-4,0.166596487,0.781615259,0.165257567,0.119472827,6.458990653,0.045345023,0.001645237,0.045933951,0.022854586,0.045933951
WBGene00006438,nrfl-1,0.170503601,0.781615259,0.111248931,0.081168795,8.427592465,0.016364204,2.38E-04,0.015325069,0.021723192,0.021723192
WBGene00016976,C56E10.3,0.138689404,0.781615259,0.230276977,0.155520126,3.574292124,0.049320942,0.028742295,0.018301386,0.051879404,0.051879404
WBGene00019060,acox-3,0.068662688,0.781615259,0.151156468,0.083024136,6.741105772,0.022665217,0.001142887,0.019454622,0.021833803,0.021833803
WBGene00012640,Y38H8A.7,0.15126896,0.781615259,0.126934087,0.088451887,6.251589441,0.015898313,0.002273957,0.013037702,0.023805163,0.023805163
WBGene00012635,Y38H8A.1,0.045374264,0.781615259,0.457471098,0.228602019,4.315703265,0.184884672,0.014520783,0.159675494,0.040541423,0.159675494
WBGene00016523,C39B5.5,0.109481844,0.781615259,0.196250752,0.122616376,6.687553408,0.052455976,0.001437378,0.048678541,0.022011313,0.048678541
WBGene00044083,tin-9.2,0.114819529,0.781615259,-0.159992058,0.101460141,6.94836748,0.034454583,0.001197145,0.033116722,0.021231185,0.033116722
WBGene00011774,ttr-54,0.057704231,0.781615259,0.197368089,0.103990791,5.279991395,0.032032128,0.005194339,0.024426506,0.03085261,0.03085261
WBGene00010683,K08F8.7,0.177144292,0.781615259,0.312587209,0.23161469,2.607373769,0.143139239,0.093953633,0.049590167,0.084864249,0.084864249
WBGene00003592,nfi-1,0.133083732,0.781615259,-0.119559864,0.079597697,7.896301367,0.01470217,4.57E-04,0.014002663,0.020661996,0.020661996
WBGene00007632,C16C10.13,0.203829422,0.781615259,0.259814837,0.204463213,2.895313601,0.127463156,0.067596748,0.05520183,0.071753937,0.071753937
WBGene00020679,ogdh-1,0.218544759,0.781615259,-0.187078975,0.152046425,9.175143235,0.073980663,1.14E-04,0.076946155,0.024851266,0.076946155
WBGene00016448,C35D10.12,0.223030875,0.781615259,0.221228823,0.181557093,3.231896816,0.10262846,0.043869048,0.066007545,0.060277046,0.066007545
WBGene00016447,msd-4,0.095999059,0.781615259,0.225787169,0.135643137,6.477146624,0.066293824,0.001547724,0.059782478,0.022781025,0.059782478
WBGene00009406,F35C11.7,0.192621699,0.781615259,0.208799432,0.16026206,3.513623769,0.065876895,0.032419825,0.025978771,0.053193267,0.053193267
WBGene00014254,cyp-13A10,0.016493697,0.781615259,0.323256972,0.13481377,4.103937314,0.063038077,0.017857735,0.035125357,0.042724773,0.042724773
WBGene00014258,ZK1320.9,0.133517508,0.781615259,-0.120193837,0.080109242,8.177246314,0.013394401,2.80E-04,0.012310787,0.021111668,0.021111668
WBGene00019346,K02G10.5,0.056771879,0.781615259,0.231693922,0.121620083,5.216380795,0.051433504,0.006192857,0.043111958,0.03152172,0.043111958
WBGene00002976,lev-9,0.128791449,0.781615259,-0.238224932,0.156841982,3.806850007,0.085982124,0.020204855,0.06179317,0.047340237,0.06179317
WBGene00018871,F55C12.4,0.013299651,0.781615259,0.309954971,0.125201808,4.533680761,0.060703422,0.009905778,0.042345865,0.038663116,0.042345865
WBGene00015892,C17C3.9,0.197767098,0.781615259,0.238963739,0.185539599,3.084540492,0.097412235,0.049932878,0.046821395,0.064816932,0.064816932
WBGene00001458,flp-15,0.158728719,0.781615259,0.174100399,0.123531523,4.457636598,0.027523577,0.011556848,0.014849551,0.039309943,0.039309943
WBGene00000179,aqp-11,0.143054771,0.781615259,0.120186207,0.08206584,6.883698072,0.012845101,0.001045716,0.011218301,0.021403624,0.021403624
WBGene00016097,C25E10.8,0.196501381,0.781615259,0.142337795,0.110204088,5.15669299,0.040337747,0.006724166,0.033758971,0.032167123,0.033758971
WBGene00023417,swm-1,0.070994571,0.781615259,0.16619592,0.092049182,5.96820638,0.020868865,0.002835717,0.013284356,0.02540779,0.02540779
WBGene00003151,mca-1,0.151526908,0.781615259,-0.243370853,0.169695871,8.127035456,0.097752031,3.19E-04,0.095669521,0.021012633,0.095669521
WBGene00017475,F14H12.8,0.191577126,0.781615259,0.201437798,0.154248807,3.705294571,0.062126891,0.030072269,0.027808545,0.049236713,0.049236713
WBGene00007921,C34C12.2,0.162378251,0.781615259,-0.151973502,0.108776467,7.594671033,0.038512605,5.57E-04,0.038884381,0.020473427,0.038884381
WBGene00013925,ZK20.4,0.031246703,0.781615259,0.190660065,0.088517844,7.156000678,0.028099095,0.005329758,0.016307642,0.020788272,0.020788272
WBGene00009375,F34D10.6,0.06323725,0.781615259,-0.405986864,0.21856396,4.03970559,0.17741785,0.021709937,0.137524078,0.043541308,0.137524078
WBGene00008581,acl-13,0.102544312,0.781615259,0.237195931,0.145283492,4.339769447,0.077680706,0.020765337,0.049592306,0.040325679,0.049592306
WBGene00015965,ugt-48,0.189788488,0.781615259,0.109985345,0.083881116,6.663627427,0.010801427,0.001360312,0.008618509,0.02209316,0.02209316
WBGene00003960,pcs-1,0.185159512,0.781615259,0.111975563,0.08450762,6.593052635,0.016708319,0.001462084,0.015226735,0.022343042,0.022343042
WBGene00021018,W04B5.1,0.116968331,0.781615259,0.188512588,0.120253512,5.167041683,0.048991339,0.005523414,0.04267961,0.032054192,0.04267961
WBGene00021852,Y54F10AM.8,0.034152765,0.781615259,0.168985767,0.079775615,8.075566571,0.020324735,2.95E-04,0.017962048,0.020919125,0.020919125
WBGene00020491,T13G4.4,0.232171412,0.781615259,0.122185604,0.102265847,5.364105799,0.015149608,0.004855632,0.00958013,0.03000538,0.03000538
WBGene00020489,hot-8,0.12369582,0.781615259,0.205599296,0.133554213,4.071834351,0.027840149,0.016334523,0.003933317,0.043121236,0.043121236
WBGene00018472,nep-16,0.227013879,0.781615259,-0.207464843,0.171730081,3.756207528,0.093351551,0.032872443,0.065431626,0.048271282,0.065431626
WBGene00003055,lon-1,0.205694946,0.781615259,-0.102960276,0.081359866,6.975247222,0.020591058,9.01E-04,0.016486687,0.021164044,0.021164044
WBGene00004753,sec-8,0.213479302,0.781615259,-0.145640276,0.117068996,7.650395532,0.043811862,5.12E-04,0.045172323,0.020484984,0.045172323
WBGene00013718,pdpr-1,0.23357202,0.781615259,-0.136532708,0.114617037,8.054940771,0.042644813,3.52E-04,0.043438649,0.020884063,0.043438649
WBGene00007516,gpx-5,0.169544864,0.781615259,-0.11172765,0.081335281,7.004043635,0.011825073,9.56E-04,0.008120893,0.021095194,0.021095194
WBGene00014001,pyk-2,0.006358153,0.781615259,0.219059011,0.080279168,7.873451508,0.027931401,4.12E-04,0.021070892,0.020636957,0.021070892
WBGene00001589,gip-1,0.188623728,0.781615259,-0.154302453,0.117370491,7.6097672,0.043952225,5.30E-04,0.045389349,0.020475505,0.045389349
WBGene00012329,sre-44,0.110759762,0.781615259,0.600357682,0.376449954,1.963647762,0.505277658,0.19954855,0.272833342,0.128851194,0.272833342
WBGene00012834,Y43F8C.13,0.179452475,0.781615259,0.112660086,0.083921705,6.656329381,0.008207036,0.00135775,0.002688376,0.022118425,0.022118425
WBGene00003413,mrp-7,0.154475219,0.781615259,-0.271956625,0.190994095,8.328237619,0.119109115,2.71E-04,0.121324841,0.021456617,0.121324841
WBGene00012835,ani-3,0.158272099,0.781615259,-0.237445571,0.168292882,7.418657817,0.092297068,6.82E-04,0.093726317,0.020507614,0.093726317
WBGene00001561,gei-4,0.100700892,0.781615259,-0.191201585,0.116482268,8.243767722,0.049978578,4.98E-04,0.044729272,0.021254839,0.044729272
WBGene00002188,kgb-2,0.112963663,0.781615259,0.246548719,0.155550088,4.083903474,0.084642219,0.020645676,0.06000709,0.042969576,0.06000709
WBGene00009159,F26E4.4,0.073635149,0.781615259,-0.141920984,0.079335383,7.742989058,0.013180526,4.53E-04,0.011120347,0.020527634,0.020527634
WBGene00010731,K10C3.4,0.200901725,0.781615259,-0.119934022,0.093772686,7.701779458,0.028113175,3.40E-04,0.028970607,0.020505052,0.028970607
WBGene00022059,Y67D8A.2,0.196151574,0.781615259,-0.164918192,0.127587018,7.584491722,0.055410801,0.002900639,0.051360851,0.020472469,0.051360851
WBGene00001519,gar-3,0.074089772,0.781615259,0.210411891,0.117807944,4.778633979,0.034353381,0.009910297,0.019274912,0.036352075,0.036352075
WBGene00009065,F22G12.5,0.20328675,0.781615259,-0.281292957,0.221100002,7.87465531,0.158279687,5.03E-04,0.162447483,0.020638233,0.162447483
WBGene00005036,sra-10,0.007819549,0.781615259,0.559094907,0.21020473,2.719796292,0.135324945,0.067935317,0.0277094,0.079351445,0.079351445
WBGene00015200,B0454.9,0.22497497,0.781615259,-0.139012583,0.114564032,5.21625592,0.043814866,0.005904243,0.037845481,0.031523054,0.037845481
WBGene00018807,fbxa-146,0.08236224,0.781615259,0.213432957,0.12286448,4.43560013,0.038208837,0.010822047,0.019637612,0.039496887,0.039496887
WBGene00000931,dao-5,0.109531635,0.781615259,-0.304080868,0.190014694,9.039961293,0.121586059,1.38E-04,0.120214192,0.024125685,0.120214192
WBGene00017064,ppfr-2,0.150065656,0.781615259,-0.149346449,0.103763281,7.778398498,0.035809271,4.59E-04,0.0354301,0.020551632,0.0354301
WBGene00017068,D2092.8,0.087291339,0.781615259,-0.28993622,0.169566999,3.424419126,0.097592253,0.038780132,0.057063092,0.055246971,0.057063092
WBGene00000118,alh-12,0.029435361,0.781615259,0.172805647,0.07935578,7.751734747,0.015532969,4.58E-04,0.01171769,0.020533167,0.020533167
WBGene00003400,dapk-1,0.217150818,0.781615259,-0.221858246,0.179767517,6.343550666,0.107327948,0.00148542,0.10623578,0.023359124,0.10623578
WBGene00012946,Y47H9B.2,0.030583924,0.781615259,0.324876362,0.150235694,3.740627549,0.07089366,0.02667244,0.034278919,0.048563439,0.048563439
WBGene00011144,R08D7.4,0.229635875,0.781615259,0.096657938,0.080461293,7.274009192,0.018373504,9.59E-04,0.017489857,0.020621506,0.020621506
WBGene00019250,H28G03.2,0.142932162,0.781615259,-0.170114975,0.116122703,6.250798235,0.046206376,0.001676506,0.043271768,0.023809166,0.043271768
WBGene00016907,C53H9.2,0.16624883,0.781615259,-0.112396161,0.081190092,8.438638503,0.019092096,2.18E-04,0.019441413,0.021754818,0.021754818
WBGene00017711,F22E5.13,0.158654639,0.781615259,-0.25629495,0.181819656,3.280588773,0.07529409,0.051276816,-0.00504208,0.058917809,0.058917809
WBGene00004984,spn-4,0.108080872,0.781615259,-0.171330669,0.106623242,10.10831198,0.037411559,4.27E-05,0.03785234,0.032334091,0.03785234
WBGene00008450,E01G6.2,0.133658991,0.781615259,0.176553107,0.117715578,4.719906453,0.019746355,0.009231361,0.006478137,0.036958496,0.036958496
WBGene00018364,dagl-2,0.130810631,0.781615259,-0.15672831,0.103730867,7.963324932,0.035019205,3.41E-04,0.035525957,0.020745537,0.035525957
WBGene00000967,dhs-3,0.016682119,0.781615259,0.189994757,0.079374829,7.643096952,0.024375518,5.18E-04,0.020300971,0.020482865,0.020482865
WBGene00007956,trpp-9,0.234719172,0.781615259,-0.141947135,0.119454959,6.883597998,0.044866949,0.001138699,0.046426259,0.021403903,0.046426259
WBGene00014007,ZK596.2,0.175529503,0.781615259,0.161167482,0.118973635,4.664765641,0.043400695,0.009690057,0.034656308,0.037492362,0.037492362
WBGene00014008,ZK596.3,0.146824968,0.781615259,0.237803316,0.163907556,4.127574227,0.094026747,0.015829287,0.073723003,0.042446453,0.073723003
WBGene00014006,ZK596.1,0.183707146,0.781615259,0.182658097,0.137396113,6.181486254,0.060546186,0.002272682,0.060652957,0.024170408,0.060652957
WBGene00004994,spp-9,0.051363966,0.781615259,1.25614964,0.644699565,2.242182574,1.438770195,0.107620942,1.277837491,0.106895138,1.277837491
WBGene00016555,math-20,0.094151693,0.781615259,0.176794437,0.105618741,5.973234576,0.03775058,0.00281373,0.034370665,0.025376541,0.034370665
WBGene00008240,C50H2.4,0.148125526,0.781615259,0.50857679,0.351668043,2.033210178,0.431312998,0.18742028,0.224814428,0.122886064,0.224814428
WBGene00018193,F39C12.1,0.20781196,0.781615259,-0.2621542,0.208124166,7.847808608,0.137713503,4.27E-04,0.143958765,0.020610945,0.143958765
WBGene00004224,ptr-10,0.071627903,0.781615259,0.367819728,0.20417688,4.715972701,0.140619683,0.009939129,0.129021532,0.036997656,0.129021532
WBGene00044436,Y47G6A.31,0.13450534,0.781615259,-0.190143411,0.127052854,4.365991934,0.031090381,0.013713199,0.013565795,0.040094893,0.040094893
WBGene00001665,gpa-3,0.201523372,0.781615259,0.275709548,0.215866338,3.514128033,0.149862908,0.037151712,0.118175874,0.053182084,0.118175874
WBGene00011276,aakg-5,0.130207578,0.781615259,-0.120333107,0.07951787,7.850656834,0.016829012,4.63E-04,0.016115781,0.020613725,0.020613725
WBGene00004738,scc-3,0.149208147,0.781615259,-0.145051588,0.10056726,8.769619404,0.032852257,1.54E-04,0.033558374,0.02289566,0.033558374
WBGene00004102,pqn-10,0.124207294,0.781615259,0.337654639,0.219634009,2.738855087,0.172125205,0.079601023,0.081195969,0.0784689,0.081195969
WBGene00013168,arp-1,0.097013511,0.781615259,-0.132136298,0.079623789,7.842335557,0.015279127,5.27E-04,0.013759307,0.020605679,0.020605679
WBGene00050946,M162.12,0.230068163,0.781615259,-0.221290389,0.184380495,3.17839334,0.056382473,0.051473032,-0.009505726,0.061847524,0.061847524
WBGene00004049,parp-1,0.048040998,0.781615259,-0.305206222,0.154378027,7.561658123,0.083841712,0.001847679,0.077594238,0.02047162,0.077594238
WBGene00194935,M02G9.4,0.156034856,0.781615259,0.306868325,0.216327757,3.470875181,0.156270899,0.025594768,0.130397559,0.054158274,0.130397559
WBGene00017570,F18E9.4,0.162348498,0.781615259,0.20620593,0.147583385,3.801575255,0.067081057,0.025166911,0.04425753,0.047435941,0.047435941
WBGene00002583,let-363,0.214855952,0.781615259,-0.178381562,0.143818637,8.916958055,0.065704141,1.31E-04,0.068814827,0.023530772,0.068814827
WBGene00010982,flp-32,0.144241537,0.781615259,0.226781097,0.155310729,3.715742356,0.081512768,0.031368703,0.043111049,0.049036039,0.049036039
WBGene00010985,R03A10.5,0.049980102,0.781615259,0.176571589,0.090081375,6.042777644,0.02340069,0.002094492,0.018844209,0.024954355,0.024954355
WBGene00004043,plk-2,0.137663992,0.781615259,-0.230030625,0.154950096,7.854238634,0.079573931,4.11E-04,0.079620466,0.02061726,0.079620466
WBGene00004767,sel-10,0.184468556,0.781615259,-0.13267088,0.099968916,8.585470569,0.031500891,1.79E-04,0.033133856,0.02221398,0.033133856
WBGene00022127,yop-1,0.129106889,0.781615259,-0.153809455,0.10134824,8.718439873,0.034111926,1.78E-04,0.034060051,0.022694008,0.034060051
WBGene00044570,T22B7.8,0.044692218,0.781615259,0.246943331,0.123007939,4.463486457,0.030974306,0.011176137,0.011782101,0.039260373,0.039260373
WBGene00020672,T22B7.3,0.144245241,0.781615259,0.168694409,0.115531206,4.862386533,0.04542515,0.008208939,0.036282592,0.035445186,0.036282592
WBGene00005718,srv-7,0.099140728,0.781615259,-0.252797813,0.153300573,3.623859623,0.067483742,0.027486582,0.029830545,0.050850304,0.050850304
WBGene00010839,chl-1,0.156809818,0.781615259,-0.150410077,0.106230597,7.416488668,0.037741598,6.88E-04,0.036928686,0.020508714,0.036928686
WBGene00011697,T10H4.4,0.016314454,0.781615259,-0.87788738,0.36551169,1.497916666,0.498010022,0.266537682,0.151740843,0.178791637,0.178791637
WBGene00000459,ceh-38,0.069421206,0.781615259,-0.160141178,0.088199558,8.515405893,0.026397582,1.97E-04,0.025733567,0.0219858,0.025733567
WBGene00010385,H12D21.9,0.086936776,0.781615259,0.262030358,0.153074572,4.04165892,0.082556765,0.018542311,0.059563771,0.043515063,0.059563771
WBGene00015172,B0410.3,0.002218111,0.781615259,0.326100086,0.106590979,6.522732289,0.050193186,0.001568858,0.036303265,0.022603437,0.036303265
WBGene00003511,mxl-3,0.021631082,0.781615259,0.253298981,0.110284187,7.091365892,0.04499903,9.37E-04,0.039605338,0.02090681,0.039605338
WBGene00009798,F46G10.4,0.215027759,0.781615259,0.119008479,0.095985538,5.712926471,0.016309093,0.003597518,0.011137978,0.027113226,0.027113226
WBGene00000169,aqp-1,0.033188452,0.781615259,0.183828979,0.086312948,6.421351596,0.023698703,0.001820932,0.018751232,0.023012152,0.023012152
WBGene00019608,ani-2,0.169572149,0.781615259,-0.244223324,0.177800599,8.905608712,0.103112255,1.48E-04,0.105228587,0.0234789,0.105228587
WBGene00011378,T02E1.6,0.164100497,0.781615259,0.18143568,0.130396796,5.321236782,0.053940941,0.005714747,0.050963,0.030431283,0.050963
WBGene00011068,set-14,0.225917486,0.781615259,-0.097046144,0.080141009,7.247040807,0.008410288,7.55E-04,0.006775743,0.020653707,0.020653707
WBGene00006784,unc-49,0.234937981,0.781615259,-0.148449059,0.12498504,6.034379517,0.053194145,0.015703126,0.036367741,0.025004334,0.036367741
WBGene00016061,hpo-15,0.136534029,0.781615259,0.12923314,0.086802229,7.57437928,0.030398821,5.67E-04,0.024547944,0.020471871,0.024547944
WBGene00021587,clec-76,0.041778736,0.781615259,0.554124714,0.272201191,2.625578384,0.349511105,0.10640783,0.140570464,0.083934904,0.140570464
WBGene00013633,Y105C5A.8,0.030613849,0.781615259,0.196515094,0.090892688,6.362341789,0.024323234,0.004265541,0.015855848,0.023272728,0.023272728
WBGene00021079,W08A12.2,0.145395495,0.781615259,0.167786384,0.115238724,4.715658253,0.029126098,0.007265767,0.020073644,0.037000778,0.037000778
WBGene00022419,Y102A11A.9,0.015020431,0.781615259,0.327988949,0.134870195,4.390766117,0.07909315,0.019090175,0.041543057,0.039880117,0.041543057
WBGene00022365,Y92H12BL.4,0.187615663,0.781615259,-0.113956108,0.086483339,6.386866776,0.014198122,0.001768785,0.012025995,0.023162442,0.023162442
WBGene00012942,Y47D3B.6,0.12786493,0.781615259,-0.357497957,0.234798173,5.09200445,0.188192355,0.006743654,0.177023619,0.032880798,0.177023619
WBGene00014033,arrd-15,0.050810237,0.781615259,0.262541781,0.134424559,4.094185535,0.050399138,0.017390329,0.026210603,0.042842878,0.042842878
WBGene00018967,ddx-15,0.194014052,0.781615259,-0.196105647,0.150990373,8.157233196,0.074096198,2.96E-04,0.075697338,0.021071269,0.075697338
WBGene00235134,R07H5.16,0.164838539,0.781615259,-0.604872866,0.435479594,2.530666287,0.667218868,0.234715452,0.397426138,0.088943436,0.397426138
WBGene00021976,Y58A7A.2,0.098692601,0.781615259,0.383715197,0.232382112,3.602650387,0.179647329,0.032117738,0.147887082,0.051286014,0.147887082
WBGene00021978,Y58A7A.4,0.060084495,0.781615259,-0.661035169,0.351582087,2.940913184,0.327180089,0.342068145,-0.057988509,0.069965067,0.069965067
WBGene00044784,F13H10.8,0.128064015,0.781615259,0.120790778,0.079374624,7.662122084,0.012763571,5.12E-04,0.009157331,0.020488771,0.020488771
WBGene00019380,K04C2.2,0.159014639,0.781615259,-0.114874555,0.081564258,8.507015996,0.021626278,2.16E-04,0.021116876,0.021959595,0.021959595
WBGene00004311,ras-2,0.086226753,0.781615259,0.165536142,0.096486157,7.014408814,0.032095901,8.81E-04,0.030150752,0.021071208,0.030150752
WBGene00017560,F18C5.5,0.161280446,0.781615259,0.221430743,0.158076962,4.626672046,0.079809211,0.010725179,0.072569241,0.037844461,0.072569241
WBGene00007050,utp-20,0.19839243,0.781615259,-0.10576353,0.082232969,8.621328575,0.022782642,2.04E-04,0.017214941,0.022337297,0.022337297
WBGene00020258,T05E7.1,0.106030574,0.781615259,0.164246383,0.101619071,5.999341224,0.034223535,0.00272386,0.031697592,0.025215848,0.031697592
WBGene00021492,comt-5,0.04345697,0.781615259,0.295682329,0.146428777,3.784036415,0.058220637,0.023715046,0.025728102,0.047756243,0.047756243
WBGene00000197,aars-2,0.192206989,0.781615259,-0.213224549,0.163505978,8.821019529,0.085619997,1.67E-04,0.088946941,0.023107901,0.088946941
WBGene00001224,ehs-1,0.205381541,0.781615259,-0.210605552,0.16630682,7.675248707,0.091131362,5.57E-04,0.091636331,0.020493567,0.091636331
WBGene00010348,H01G02.1,0.154849782,0.781615259,0.127312637,0.089492414,6.142073238,0.012378164,0.00231127,0.009153401,0.024385037,0.024385037
WBGene00021631,Y47D9A.4,0.157012982,0.781615259,0.359935582,0.254337399,2.435241957,0.171174042,0.121220257,0.042481547,0.094404785,0.094404785
WBGene00011548,T06G6.6,0.148856649,0.781615259,0.282445086,0.195655755,5.456027136,0.123507881,0.005223939,0.122379976,0.02913942,0.122379976
WBGene00010416,hxk-2,0.174529511,0.781615259,-0.107772839,0.079373566,7.638844217,0.019739406,5.19E-04,0.019461972,0.020481714,0.020481714
WBGene00022880,tbc-2,0.123162154,0.781615259,-0.222695556,0.144454077,8.365421809,0.069148617,2.81E-04,0.069275565,0.021552642,0.069275565
WBGene00005009,spr-4,0.18450053,0.781615259,-0.160875658,0.121230346,7.987447671,0.048417644,3.55E-04,0.048634697,0.020779287,0.048634697
WBGene00020799,T25D10.1,0.191144058,0.781615259,0.137449701,0.105148005,5.325964453,0.036134994,0.005439634,0.031414043,0.03038369,0.031414043
WBGene00022832,pdp-1,0.145399874,0.781615259,-0.140394597,0.096426599,7.88382727,0.030119097,4.18E-04,0.030575539,0.02064811,0.030575539
WBGene00015103,B0280.7,0.204184829,0.781615259,0.226600862,0.178465397,4.821842766,0.104291321,0.008028762,0.098137564,0.03588818,0.098137564
WBGene00001389,far-5,0.113774125,0.781615259,0.209344739,0.132374799,5.686938331,0.058055366,0.008327165,0.050083126,0.027298965,0.050083126
WBGene00003965,pdk-1,0.093926709,0.781615259,-0.234628992,0.140073804,6.369860197,0.071458828,0.001672036,0.063730199,0.02323862,0.063730199
WBGene00006224,str-180,0.057642406,0.781615259,0.323609444,0.170463624,3.451714211,0.107659212,0.035156741,0.06170275,0.054602089,0.06170275
WBGene00011314,T01B7.9,0.050701423,0.781615259,0.289989051,0.14840804,3.890806456,0.082606926,0.027563506,0.043086458,0.045852982,0.045852982
WBGene00044290,B0035.18,0.224016338,0.781615259,-0.112738163,0.092718593,5.943801629,0.019874612,0.003094975,0.017257285,0.025560817,0.025560817
WBGene00006774,unc-38,0.170226492,0.781615259,0.167972289,0.122475522,4.50655629,0.024638644,0.011105935,0.010137316,0.03889491,0.03889491
WBGene00017675,F21F3.6,0.140379411,0.781615259,-0.141292739,0.095831994,8.456338513,0.030783792,2.45E-04,0.030367542,0.021806333,0.030367542
WBGene00020817,T25G12.11,0.105363157,0.781615259,-0.303465126,0.187394596,3.127323282,0.09616912,0.053628116,0.023509296,0.063427665,0.063427665
WBGene00018701,pccb-1,0.138881105,0.781615259,-0.157723233,0.106571873,8.303203523,0.038765967,0.000280368,0.037578178,0.021394461,0.037578178
WBGene00022681,ZK185.1,0.065486264,0.781615259,-0.180556122,0.098025825,5.672247709,0.034499242,0.002694579,0.029335629,0.027404864,0.029335629
WBGene00019347,mbl-1,0.125736166,0.781615259,-0.18522899,0.120975,6.204045672,0.049489609,0.00298783,0.045795338,0.024050541,0.045795338
WBGene00002324,let-49,0.093281099,0.781615259,-0.138804396,0.082703473,6.921153182,0.023102961,0.001010928,0.021788621,0.021301909,0.021788621
